,Quantity,Rate,trial,type
64,0.15914495,5219.77,10,sell
65,0.04140996,5220.0,10,sell
66,0.00105994,5220.06,10,sell
67,0.001,5220.8745,10,sell
68,0.001,5221.0755,10,sell
69,0.001,5221.2765,10,sell
70,0.0105101,5221.69153496,10,sell
71,0.001,5221.779,10,sell
72,0.001,5221.8795,10,sell
73,0.01999687,5223.03794941,10,sell
74,0.00233545,5223.81107562,10,sell
75,0.00708007,5224.69375181,10,sell
76,0.0328323,5225.75215901,10,sell
77,0.343045,5228.36486,10,sell
78,0.76768484,5229.99999999,10,sell
79,0.003,5230.0,10,sell
80,0.001,5230.221,10,sell
81,0.001,5232.82790168,10,sell
82,1.45,5234.0,10,sell
83,0.00416246,5234.75081138,10,sell
84,0.05816086,5235.83187209,10,sell
85,0.001,5236.98386189,10,sell
86,0.003,5240.0,10,sell
87,0.06,5244.0,10,sell
88,0.00207452,5244.6213139,10,sell
89,0.1005,5246.8341,10,sell
90,0.0106152,5247.03955212,10,sell
91,0.004991,5249.98765432,10,sell
92,0.703,5250.0,10,sell
93,0.001,5251.24822795,10,sell
94,1.5,5251.60000001,10,sell
95,0.002,5251.61523874,10,sell
96,0.001,5252.13,10,sell
97,0.08313248,5252.55135929,10,sell
98,0.001,5252.9541,10,sell
99,0.1516542,5254.12224034,10,sell
